dataset,scaler,model,cv_folds,cv_repeats,n_splits,mean_accuracy,std_accuracy,ci95_low,ci95_high
breast_cancer,minmax,knn,5,5,25,0.9683868964446514,0.014961035866710739,0.9625221703849007,0.974251622504402
breast_cancer,robust,knn,5,5,25,0.9673218444340941,0.01252405843743891,0.962412413526618,0.9722312753415702
breast_cancer,zscore,knn,5,5,25,0.9669678621332091,0.013922059554717262,0.9615104147877599,0.9724253094786582
breast_cancer,l2_norm,knn,5,5,25,0.9223195156031672,0.0216228176507248,0.9138433710840831,0.9307956601222512
breast_cancer,robust,logistic_regression,5,5,25,0.9792578792113027,0.01216979741399948,0.9744873186250149,0.9840284397975905
breast_cancer,zscore,logistic_regression,5,5,25,0.9778574755472753,0.01272264205088184,0.9728701998633297,0.982844751231221
breast_cancer,minmax,logistic_regression,5,5,25,0.9659214407700668,0.01740259067498373,0.9590996252254732,0.9727432563146604
breast_cancer,l2_norm,logistic_regression,5,5,25,0.7782673497904052,0.028734299542744094,0.7670035043696496,0.7895311952111609
breast_cancer,zscore,mlp,5,5,25,0.9743331780779383,0.012970348606969918,0.969248801424006,0.9794175547318705
breast_cancer,minmax,mlp,5,5,25,0.971523055426176,0.012273457800990853,0.9667118599681876,0.9763342508841644
breast_cancer,robust,mlp,5,5,25,0.9704766340630337,0.010735233250332968,0.9662684226289032,0.9746848454971643
breast_cancer,l2_norm,mlp,5,5,25,0.9191771464058377,0.02626539848291153,0.9088811102005364,0.929473182611139
breast_cancer,l2_norm,random_forest,5,5,25,0.9606210215805,0.02095414099767759,0.9524069983094103,0.9688350448515897
breast_cancer,zscore,random_forest,5,5,25,0.957829529576153,0.020873952672783105,0.949646940128422,0.966012119023884
breast_cancer,robust,random_forest,5,5,25,0.957829529576153,0.020873952672783105,0.949646940128422,0.966012119023884
breast_cancer,minmax,random_forest,5,5,25,0.9574786523831704,0.02143061450966652,0.9490778514953812,0.9658794532709597
breast_cancer,minmax,svm_rbf,5,5,25,0.9761124049060704,0.016317804266575666,0.9697158256335727,0.9825089841785681
breast_cancer,zscore,svm_rbf,5,5,25,0.975742897065673,0.013954125115070472,0.9702728800205653,0.9812129141107806
breast_cancer,robust,svm_rbf,5,5,25,0.9729327744139108,0.01680356846089599,0.9663457755772396,0.979519773250582
breast_cancer,l2_norm,svm_rbf,5,5,25,0.8914081664337836,0.025027101472855657,0.8815975426564242,0.901218790211143
wine,zscore,knn,5,5,25,0.9672063492063492,0.033515281954126556,0.9540683586803316,0.9803443397323668
wine,minmax,knn,5,5,25,0.9660317460317461,0.03590264848125306,0.9519579078270949,0.9801055842363974
wine,robust,knn,5,5,25,0.9604761904761905,0.03183189446660375,0.9479980878452818,0.9729542931070991
wine,l2_norm,knn,5,5,25,0.7888571428571428,0.068033080497594,0.7621881753020859,0.8155261104121997
wine,zscore,logistic_regression,5,5,25,0.9853968253968255,0.016414379269798763,0.9789623887230644,0.9918312620705866
wine,robust,logistic_regression,5,5,25,0.9842539682539683,0.01831236346244665,0.9770755217766892,0.9914324147312473
wine,minmax,logistic_regression,5,5,25,0.9785079365079367,0.023669029935342117,0.9692296767732825,0.9877861962425908
wine,l2_norm,logistic_regression,5,5,25,0.6407619047619048,0.055522892892685145,0.6189969307479721,0.6625268787758374
wine,minmax,mlp,5,5,25,0.9876825396825397,0.016294213259297953,0.9812952080848949,0.9940698712801845
wine,zscore,mlp,5,5,25,0.9863809523809525,0.018585498672270048,0.9790954369014226,0.9936664678604823
wine,robust,mlp,5,5,25,0.9863809523809524,0.0219425427575215,0.9777794756200039,0.9949824291419008
wine,l2_norm,mlp,5,5,25,0.9102539682539682,0.05564614684946363,0.8884406786889785,0.9320672578189579
wine,robust,random_forest,5,5,25,0.9796825396825396,0.026394109759231583,0.9693360486569208,0.9900290307081584
wine,zscore,random_forest,5,5,25,0.9785714285714284,0.029553059129959123,0.9669866293924845,0.9901562277503724
wine,minmax,random_forest,5,5,25,0.9785714285714284,0.029553059129959123,0.9669866293924845,0.9901562277503724
wine,l2_norm,random_forest,5,5,25,0.9527936507936507,0.0424535919115963,0.936151842764305,0.9694354588229965
wine,minmax,svm_rbf,5,5,25,0.9888253968253968,0.016107592077953828,0.982511220730839,0.9951395729199547
wine,zscore,svm_rbf,5,5,25,0.9843809523809522,0.022830074727983884,0.9754315630875826,0.9933303416743219
wine,robust,svm_rbf,5,5,25,0.9810476190476192,0.026277832509503097,0.9707467087038939,0.9913485293913444
wine,l2_norm,svm_rbf,5,5,25,0.6201587301587301,0.056037684982857834,0.5981919576454499,0.6421255026720104
